tiempo_id,fecha,dia,mes,año,trimestre,semana
1,26/07/2024,26,7,2024,3,30
2,03/01/2025,3,1,2025,1,1
3,01/04/2025,1,4,2025,2,13
4,22/06/2024,22,6,2024,2,25
5,05/01/2025,5,1,2025,1,1
6,06/03/2025,6,3,2025,1,10
7,06/11/2024,6,11,2024,4,45
8,07/09/2024,7,9,2024,3,37
9,15/05/2024,15,5,2024,2,20
10,28/05/2024,28,5,2024,2,22
11,11/08/2024,11,8,2024,3,33
12,25/01/2025,25,1,2025,1,4
13,09/02/2025,9,2,2025,1,6
14,19/11/2024,19,11,2024,4,48
15,10/03/2025,10,3,2025,1,11
16,14/02/2025,14,2,2025,1,7
17,29/04/2024,29,4,2024,2,17
18,04/03/2025,4,3,2025,1,9
19,05/04/2025,5,4,2025,2,14
20,08/01/2025,8,1,2025,1,1
21,04/08/2024,4,8,2024,3,31
22,02/10/2024,2,10,2024,4,40
23,18/12/2024,18,12,2024,4,51
24,10/06/2024,10,6,2024,2,24
25,18/11/2024,18,11,2024,4,47
26,31/05/2024,31,5,2024,2,22
27,26/09/2024,26,9,2024,3,39
28,03/01/2025,3,1,2025,1,1
29,12/10/2024,12,10,2024,4,41
30,30/07/2024,30,7,2024,3,31
31,22/03/2025,22,3,2025,1,12
32,03/06/2024,3,6,2024,2,23
33,28/06/2024,28,6,2024,2,26
34,01/07/2024,1,7,2024,3,27
35,14/02/2025,14,2,2025,1,7
36,23/01/2025,23,1,2025,1,4
37,22/06/2024,22,6,2024,2,26
38,18/01/2025,18,1,2025,1,3
39,16/12/2024,16,12,2024,4,50
40,11/04/2024,11,4,2024,2,15
41,26/08/2024,26,8,2024,3,35
42,14/01/2025,14,1,2025,1,2
43,06/03/2025,6,3,2025,1,10
44,17/11/2024,17,11,2024,4,47
45,17/05/2024,17,5,2024,2,20
46,27/12/2024,27,12,2024,4,52
47,07/02/2025,7,2,2025,1,6
48,07/03/2025,7,3,2025,1,10
49,04/06/2024,4,6,2024,2,23
50,01/09/2024,1,9,2024,3,35
51,20/09/2024,20,9,2024,3,38
52,27/12/2024,27,12,2024,4,52
53,28/02/2025,28,2,2025,1,9
54,12/06/2024,12,6,2024,2,24
55,02/04/2025,2,4,2025,2,14
56,29/04/2024,29,4,2024,2,18
57,15/05/2024,15,5,2024,2,20
58,24/08/2024,24,8,2024,3,34
59,09/10/2024,9,10,2024,4,41
60,16/06/2024,16,6,2024,2,25
61,28/04/2024,28,4,2024,2,18
62,23/05/2024,23,5,2024,2,21
63,25/10/2024,25,10,2024,4,43
64,16/12/2024,16,12,2024,4,51
65,17/08/2024,17,8,2024,3,33
66,24/11/2024,24,11,2024,4,47
67,23/09/2024,23,9,2024,3,39
68,04/06/2024,4,6,2024,2,23
69,07/12/2024,7,12,2024,4,49
70,13/01/2025,13,1,2025,1,3
71,12/09/2024,12,9,2024,3,37
72,03/05/2024,3,5,2024,2,18
73,13/08/2024,13,8,2024,3,33
74,12/12/2024,12,12,2024,4,50
75,12/05/2024,12,5,2024,2,20
76,26/08/2024,26,8,2024,3,35
77,27/03/2025,27,3,2025,1,13
78,15/08/2024,15,8,2024,3,33
79,04/02/2025,4,2,2025,1,6
80,23/07/2024,23,7,2024,3,30
81,03/06/2024,3,6,2024,2,23
82,11/03/2025,11,3,2025,1,11
83,11/02/2025,11,2,2025,1,7
84,04/07/2024,4,7,2024,3,27
85,23/07/2024,23,7,2024,3,30
86,11/04/2024,11,4,2024,2,15
87,16/05/2024,16,5,2024,2,20
88,01/09/2024,1,9,2024,3,36
89,03/07/2024,3,7,2024,3,27
90,02/09/2024,2,9,2024,3,36
91,18/05/2024,18,5,2024,2,21
92,05/02/2025,5,2,2025,1,6
93,02/04/2025,2,4,2025,2,14
