interaction_id,cliente_id,canal_id,product_id,campaign_id,dispositivo_id,region_id,tiempo_id,clics,conversiones,ingresos_generados,duracion_sesion
1,487,5,7,12,3,2,187,3,1,45.25,342
2,256,8,2,5,1,4,92,5,0,0.00,215
3,112,3,9,14,4,1,156,1,1,78.50,478
4,398,1,4,7,2,3,231,2,0,0.00,123
5,45,10,6,3,5,2,47,4,1,32.75,289
6,324,7,1,11,3,4,198,0,0,0.00,56
7,199,2,8,6,1,1,112,3,0,0.00,187
8,76,4,3,9,4,3,75,2,1,54.30,321
9,412,9,5,2,2,2,224,5,0,0.00,142
10,288,6,7,13,5,4,39,1,1,67.80,412
11,53,1,2,4,3,1,167,4,0,0.00,98
12,376,8,9,8,1,3,201,2,1,23.45,276
13,141,5,4,10,4,2,118,3,0,0.00,154
14,467,3,6,1,2,4,62,1,1,89.90,498
15,92,7,1,14,5,1,235,5,0,0.00,201
16,305,2,8,7,3,3,83,0,0,0.00,67
17,178,10,3,5,1,2,176,2,1,41.20,334
18,421,4,5,12,4,4,129,3,0,0.00,112
19,64,9,7,6,2,1,42,4,1,76.35,387
20,342,6,2,3,5,3,213,1,0,0.00,89
21,127,1,9,11,3,2,97,5,1,58.60,421
22,489,8,4,9,1,4,158,2,0,0.00,134
23,233,3,6,2,4,1,71,3,1,34.75,256
24,156,7,1,13,2,3,204,1,0,0.00,76
25,407,5,8,10,5,2,117,4,1,65.40,368
26,88,2,3,4,3,4,189,2,0,0.00,143
27,371,10,5,14,1,1,53,3,1,47.85,297
28,214,4,7,7,4,3,226,5,0,0.00,198
29,95,9,2,5,2,2,81,1,1,82.10,439
30,263,6,9,12,5,4,132,2,0,0.00,87
31,142,1,4,3,3,1,165,3,1,29.95,312
32,428,8,6,8,1,3,108,4,0,0.00,124
33,177,3,1,11,4,2,237,1,1,71.25,453
34,496,7,8,6,2,4,64,5,0,0.00,109
35,321,2,3,13,5,1,193,2,1,53.70,345
36,84,10,5,9,3,3,126,3,0,0.00,167
37,359,4,7,2,1,2,49,1,1,64.80,401
38,205,9,2,10,4,4,218,4,0,0.00,132
39,73,6,9,4,2,1,91,2,1,38.45,278
40,412,1,4,14,5,3,152,3,0,0.00,113
41,298,8,6,7,3,2,35,5,1,56.90,382
42,135,3,1,5,1,4,174,1,0,0.00,78
43,467,7,8,12,4,1,227,2,1,43.15,326
44,186,5,3,3,2,3,100,3,0,0.00,145
45,423,2,5,8,5,2,61,4,1,79.60,467
46,97,10,7,11,3,4,209,1,0,0.00,94
47,354,4,2,6,1,1,138,5,1,31.75,253
48,221,9,9,13,4,3,72,2,0,0.00,116
49,68,6,4,9,2,2,185,3,1,67.30,394
50,387,1,6,2,5,4,43,1,0,0.00,65
51,244,8,1,10,3,1,216,4,1,52.45,337
52,113,3,8,4,1,3,119,2,0,0.00,127
53,472,7,3,14,4,2,58,3,1,74.85,419
54,159,5,5,7,2,4,191,5,0,0.00,176
55,326,2,7,5,5,1,104,1,1,36.20,284
56,82,10,2,12,3,3,233,2,0,0.00,98
57,441,4,9,3,1,2,77,3,1,61.50,356
58,227,9,4,8,4,4,162,4,0,0.00,134
59,54,6,6,11,2,1,31,1,1,48.75,298
60,398,1,1,6,5,3,206,5,0,0.00,187
61,275,8,8,13,3,2,141,2,1,83.40,476
62,124,3,3,9,1,4,84,3,0,0.00,112
63,463,7,5,2,4,1,229,1,1,57.25,408
64,192,5,7,10,2,3,106,4,0,0.00,123
65,341,2,2,4,5,2,183,2,1,42.90,327
66,79,10,9,14,3,4,55,3,0,0.00,89
67,428,4,4,7,1,1,168,5,1,69.80,442
68,217,9,6,5,4,3,121,1,0,0.00,76
69,63,6,1,12,2,2,194,2,1,35.15,265
70,485,1,8,3,5,4,37,3,0,0.00,104
71,336,8,3,8,3,1,222,4,1,73.60,389
72,148,3,5,11,1,3,93,1,0,0.00,68
73,479,7,7,6,4,2,236,5,1,46.30,351
74,165,5,2,13,2,4,79,2,0,0.00,117
75,432,2,9,9,5,1,148,3,1,59.45,413
76,91,10,4,4,3,3,207,1,0,0.00,82
77,368,4,6,14,1,2,50,4,1,81.20,492
78,239,9,1,7,4,4,175,2,0,0.00,136
79,57,6,8,5,2,1,128,3,1,37.85,274
80,413,1,3,12,5,3,65,5,0,0.00,158
81,284,8,5,3,3,2,210,1,1,68.70,425
82,137,3,7,8,1,4,111,2,0,0.00,97
83,496,7,2,11,4,1,38,3,1,53.40,362
84,173,5,9,6,2,3,186,4,0,0.00,124
85,347,2,4,13,5,2,103,1,1,76.25,448
86,86,10,6,9,3,4,220,5,0,0.00,179
87,451,4,1,2,1,1,143,2,1,44.90,316
88,223,9,8,10,4,3,86,3,0,0.00,108
89,62,6,3,4,2,2,197,1,1,62.35,378
90,394,1,5,14,5,4,51,4,0,0.00,132
91,271,8,7,7,3,1,170,2,1,39.50,293
92,126,3,2,5,1,3,125,3,0,0.00,114
93,487,7,9,12,4,2,238,5,1,85.60,487
94,181,5,4,3,2,4,80,1,0,0.00,73
95,438,2,6,8,5,1,149,2,1,57.15,364
96,99,10,1,11,3,3,208,3,0,0.00,96
97,376,4,8,6,1,2,59,4,1,72.80,432
98,245,9,3,13,4,4,182,1,0,0.00,118
99,58,6,5,9,2,1,131,5,1,48.25,347
100,421,1,7,2,5,3,66,2,0,0.00,87
101,292,8,2,10,3,2,211,3,1,63.90,396
102,139,3,9,4,1,4,114,1,0,0.00,79
103,498,7,4,14,4,1,41,4,1,55.70,358
104,167,5,6,7,2,3,188,2,0,0.00,126
105,353,2,1,5,5,2,105,3,1,78.45,459
106,83,10,8,12,3,4,221,5,0,0.00,184
107,465,4,3,3,1,1,144,1,1,47.30,329
108,225,9,5,8,4,3,87,2,0,0.00,109
109,61,6,7,11,2,2,196,3,1,69.85,417
110,392,1,2,6,5,4,52,4,0,0.00,133
111,273,8,9,13,3,1,171,1,1,41.60,302
112,128,3,4,9,1,3,124,2,0,0.00,115
113,482,7,6,2,4,2,239,3,1,84.75,498
114,183,5,1,10,2,4,78,4,0,0.00,129
115,436,2,8,4,5,1,147,5,1,58.35,376
116,101,10,3,14,3,3,205,1,0,0.00,95
117,374,4,5,7,1,2,57,2,1,71.90,428
118,247,9,7,5,4,4,180,3,0,0.00,119
119,59,6,2,12,2,1,130,4,1,49.45,349
120,419,1,9,3,5,3,63,1,0,0.00,84
121,294,8,4,8,3,2,212,5,1,64.10,398
122,141,3,6,11,1,4,113,2,0,0.00,80
123,499,7,1,6,4,1,40,3,1,56.90,360
124,169,5,8,13,2,3,187,1,0,0.00,125
125,355,2,3,9,5,2,102,4,1,79.65,461
126,85,10,5,2,3,4,219,5,0,0.00,183
127,466,4,7,10,1,1,142,1,1,48.50,331
128,227,9,2,4,4,3,85,2,0,0.00,107
129,60,6,9,14,2,2,195,3,1,70.95,419
130,393,1,4,7,5,4,50,4,0,0.00,131
131,274,8,6,5,3,1,172,5,1,42.80,304
132,129,3,1,12,1,3,123,1,0,0.00,114
133,483,7,8,3,4,2,237,2,1,85.85,496
134,184,5,3,8,2,4,77,3,0,0.00,128
135,437,2,5,11,5,1,146,4,1,59.55,378
136,102,10,7,6,3,3,204,5,0,0.00,94
137,375,4,2,13,1,2,56,1,1,73.10,430
138,248,9,9,9,4,4,179,2,0,0.00,118
139,58,6,4,2,2,1,129,3,1,50.65,351
140,418,1,6,10,5,3,62,4,0,0.00,83
141,295,8,1,4,3,2,213,5,1,65.30,400
142,142,3,8,14,1,4,112,1,0,0.00,79
143,500,7,3,7,4,1,39,2,1,58.10,362
144,170,5,5,5,2,3,186,3,0,0.00,124
145,356,2,7,12,5,2,101,4,1,80.85,463
146,84,10,9,3,3,4,218,5,0,0.00,182
147,467,4,4,8,1,1,141,1,1,49.70,333
148,228,9,6,11,4,3,84,2,0,0.00,106
149,59,6,2,6,2,2,194,3,1,72.15,421
150,394,1,9,13,5,4,49,4,0,0.00,130
151,275,8,5,9,3,1,173,5,1,44.00,306
152,130,3,7,2,1,3,122,1,0,0.00,113
153,484,7,1,10,4,2,236,2,1,87.05,494
154,185,5,8,4,2,4,76,3,0,0.00,127
155,438,2,3,14,5,1,145,4,1,60.75,380
156,103,10,5,7,3,3,203,5,0,0.00,93
157,376,4,9,5,1,2,55,1,1,74.30,432
158,249,9,4,12,4,4,178,2,0,0.00,117
159,57,6,6,3,2,1,128,3,1,51.85,353
160,417,1,2,8,5,3,61,4,0,0.00,82
161,296,8,7,11,3,2,214,5,1,66.50,402
162,143,3,9,6,1,4,111,1,0,0.00,78
163,498,7,5,13,4,1,38,2,1,59.30,364
164,171,5,1,9,2,3,185,3,0,0.00,123
165,357,2,8,1,5,2,100,4,1,82.05,465
166,83,10,3,10,3,4,217,5,0,0.00,181
167,468,4,6,4,1,1,140,1,1,50.90,335
168,229,9,2,14,4,3,83,2,0,0.00,105
169,58,6,9,7,2,2,193,3,1,73.35,423
